arrival_date,label
2017-04-01,4.0
2017-04-02,3.0
2017-04-03,5.0
2017-04-04,2.0
2017-04-05,3.0
2017-04-06,3.0
2017-04-07,3.0
2017-04-08,6.0
2017-04-09,7.0
2017-04-10,5.0
2017-04-11,3.0
2017-04-12,3.0
2017-04-13,6.0
2017-04-14,5.0
2017-04-15,6.0
2017-04-16,5.0
2017-04-17,5.0
2017-04-18,2.0
2017-04-19,3.0
2017-04-20,3.0
2017-04-21,5.0
2017-04-22,5.0
2017-04-23,4.0
2017-04-24,4.0
2017-04-25,2.0
2017-04-26,3.0
2017-04-27,3.0
2017-04-28,7.0
2017-04-29,7.0
2017-04-30,4.0
2017-05-01,6.0
2017-05-02,5.0
2017-05-03,3.0
2017-05-04,5.0
2017-05-05,7.0
2017-05-06,6.0
2017-05-07,5.0
2017-05-08,7.0
2017-05-09,4.0
2017-05-10,4.0
2017-05-11,5.0
2017-05-12,4.0
2017-05-13,5.0
2017-05-14,6.0
2017-05-15,5.0
2017-05-16,4.0
2017-05-17,4.0
2017-05-18,5.0
2017-05-19,5.0
2017-05-20,6.0
2017-05-21,5.0
2017-05-22,5.0
2017-05-23,3.0
2017-05-24,5.0
2017-05-25,5.0
2017-05-26,4.0
2017-05-27,4.0
2017-05-28,7.0
2017-05-29,4.0
2017-05-30,3.0
2017-05-31,3.0
2017-06-01,5.0
2017-06-02,6.0
2017-06-03,5.0
2017-06-04,5.0
2017-06-05,7.0
2017-06-06,4.0
2017-06-07,3.0
2017-06-08,6.0
2017-06-09,5.0
2017-06-10,5.0
2017-06-11,7.0
2017-06-12,6.0
2017-06-13,3.0
2017-06-14,3.0
2017-06-15,6.0
2017-06-16,5.0
2017-06-17,6.0
2017-06-18,5.0
2017-06-19,6.0
2017-06-20,5.0
2017-06-21,4.0
2017-06-22,5.0
2017-06-23,5.0
2017-06-24,6.0
2017-06-25,5.0
2017-06-26,6.0
2017-06-27,4.0
2017-06-28,4.0
2017-06-29,5.0
2017-06-30,5.0
2017-07-01,7.0
2017-07-02,6.0
2017-07-03,8.0
2017-07-04,5.0
2017-07-05,4.0
2017-07-06,6.0
2017-07-07,5.0
2017-07-08,6.0
2017-07-09,7.0
2017-07-10,7.0
2017-07-11,5.0
2017-07-12,4.0
2017-07-13,5.0
2017-07-14,5.0
2017-07-15,10.0
2017-07-16,7.0
2017-07-17,9.0
2017-07-18,5.0
2017-07-19,3.0
2017-07-20,5.0
2017-07-21,5.0
2017-07-22,8.0
2017-07-23,7.0
2017-07-24,9.0
2017-07-25,5.0
2017-07-26,5.0
2017-07-27,6.0
2017-07-28,5.0
2017-07-29,9.0
2017-07-30,6.0
2017-07-31,9.0
2017-08-01,6.0
2017-08-02,6.0
2017-08-03,7.0
2017-08-04,5.0
2017-08-05,6.0
2017-08-06,7.0
2017-08-07,10.0
2017-08-08,5.0
2017-08-09,5.0
2017-08-10,6.0
2017-08-11,4.0
2017-08-12,8.0
2017-08-13,7.0
2017-08-14,7.0
2017-08-15,5.0
2017-08-16,7.0
2017-08-17,7.0
2017-08-18,7.0
2017-08-19,7.0
2017-08-20,8.0
2017-08-21,7.0
2017-08-22,3.0
2017-08-23,5.0
2017-08-24,5.0
2017-08-25,5.0
2017-08-26,7.0
2017-08-27,6.0
2017-08-28,9.0
2017-08-29,4.0
2017-08-30,3.0
2017-08-31,5.0
